Time	Displacement	Forcewasher
sec	inches	lbf
5.4200E-3	 2.139E+0	 0.000E+0
5.4400E-3	 2.144E+0	 0.000E+0
5.4600E-3	 2.139E+0	 0.000E+0
5.4800E-3	 2.139E+0	 4.883E-1
5.5000E-3	 2.139E+0	 0.000E+0
5.5200E-3	 2.144E+0	 0.000E+0
5.5400E-3	 2.144E+0	 0.000E+0
5.5600E-3	 2.144E+0	 0.000E+0
5.5800E-3	 2.144E+0	 0.000E+0
5.6000E-3	 2.144E+0	 4.883E-1
5.6200E-3	 2.148E+0	 0.000E+0
5.6400E-3	 2.148E+0	 0.000E+0
5.6600E-3	 2.148E+0	 0.000E+0
5.6800E-3	 2.148E+0	 0.000E+0
5.7000E-3	 2.148E+0	 0.000E+0
5.7200E-3	 2.148E+0	 0.000E+0
5.7400E-3	 2.148E+0	-4.883E-1
5.7600E-3	 2.153E+0	 0.000E+0
5.7800E-3	 2.148E+0	 0.000E+0
5.8000E-3	 2.153E+0	 4.883E-1
5.8200E-3	 2.153E+0	 0.000E+0
5.8400E-3	 2.158E+0	 0.000E+0
5.8600E-3	 2.158E+0	 0.000E+0
5.8800E-3	 2.153E+0	 4.883E-1
5.9000E-3	 2.158E+0	 0.000E+0
5.9200E-3	 2.158E+0	 0.000E+0
5.9400E-3	 2.158E+0	 0.000E+0
5.9600E-3	 2.158E+0	 0.000E+0
5.9800E-3	 2.158E+0	 4.883E-1
6.0000E-3	 2.163E+0	 0.000E+0
6.0200E-3	 2.163E+0	 0.000E+0
6.0400E-3	 2.163E+0	 4.883E-1
6.0600E-3	 2.168E+0	 0.000E+0
6.0800E-3	 2.163E+0	 0.000E+0
6.1000E-3	 2.168E+0	 0.000E+0
6.1200E-3	 2.168E+0	 4.883E-1
6.1400E-3	 2.168E+0	 0.000E+0
6.1600E-3	 2.168E+0	 0.000E+0
6.1800E-3	 2.168E+0	 4.883E-1
6.2000E-3	 2.168E+0	 4.883E-1
6.2200E-3	 2.168E+0	 0.000E+0
6.2400E-3	 2.173E+0	 0.000E+0
6.2600E-3	 2.173E+0	 0.000E+0
6.2800E-3	 2.173E+0	 4.883E-1
6.3000E-3	 2.173E+0	 4.883E-1
6.3200E-3	 2.173E+0	 0.000E+0
6.3400E-3	 2.173E+0	 0.000E+0
6.3600E-3	 2.178E+0	 0.000E+0
6.3800E-3	 2.173E+0	 4.883E-1
6.4000E-3	 2.178E+0	 0.000E+0
6.4200E-3	 2.178E+0	 0.000E+0
6.4400E-3	 2.178E+0	 4.883E-1
6.4600E-3	 2.178E+0	 4.883E-1
6.4800E-3	 2.183E+0	 4.883E-1
6.5000E-3	 2.183E+0	 0.000E+0
6.5200E-3	 2.183E+0	 0.000E+0
6.5400E-3	 2.183E+0	 0.000E+0
6.5600E-3	 2.183E+0	 0.000E+0
6.5800E-3	 2.183E+0	 0.000E+0
6.6000E-3	 2.183E+0	 4.883E-1
6.6200E-3	 2.187E+0	 4.883E-1
6.6400E-3	 2.187E+0	 0.000E+0
6.6600E-3	 2.187E+0	 0.000E+0
6.6800E-3	 2.187E+0	 4.883E-1
6.7000E-3	 2.187E+0	 4.883E-1
6.7200E-3	 2.192E+0	 0.000E+0
6.7400E-3	 2.192E+0	 0.000E+0
6.7600E-3	 2.192E+0	 4.883E-1
6.7800E-3	 2.192E+0	 9.766E-1
6.8000E-3	 2.192E+0	 4.883E-1
6.8200E-3	 2.197E+0	 0.000E+0
6.8400E-3	 2.197E+0	 0.000E+0
6.8600E-3	 2.197E+0	 4.883E-1
6.8800E-3	 2.197E+0	 4.883E-1
6.9000E-3	 2.197E+0	 0.000E+0
6.9200E-3	 2.197E+0	 0.000E+0
6.9400E-3	 2.197E+0	 0.000E+0
6.9600E-3	 2.197E+0	 9.766E-1
6.9800E-3	 2.202E+0	 4.883E-1
7.0000E-3	 2.202E+0	 0.000E+0
7.0200E-3	 2.197E+0	 4.883E-1
7.0400E-3	 2.202E+0	 0.000E+0
7.0600E-3	 2.202E+0	 4.883E-1
7.0800E-3	 2.202E+0	 4.883E-1
7.1000E-3	 2.202E+0	 4.883E-1
7.1200E-3	 2.207E+0	 0.000E+0
7.1400E-3	 2.207E+0	 0.000E+0
7.1600E-3	 2.207E+0	 4.883E-1
7.1800E-3	 2.207E+0	 4.883E-1
7.2000E-3	 2.207E+0	 4.883E-1
7.2200E-3	 2.212E+0	 0.000E+0
7.2400E-3	 2.212E+0	 0.000E+0
7.2600E-3	 2.212E+0	 4.883E-1
7.2800E-3	 2.212E+0	 4.883E-1
7.3000E-3	 2.212E+0	 4.883E-1
7.3200E-3	 2.212E+0	 0.000E+0
7.3400E-3	 2.217E+0	 0.000E+0
7.3600E-3	 2.217E+0	 4.883E-1
7.3800E-3	 2.217E+0	 4.883E-1
7.4000E-3	 2.217E+0	 4.883E-1
7.4200E-3	 2.217E+0	 0.000E+0
7.4400E-3	 2.217E+0	 4.883E-1
7.4600E-3	 2.217E+0	 4.883E-1
7.4800E-3	 2.222E+0	 4.883E-1
7.5000E-3	 2.222E+0	 4.883E-1
7.5200E-3	 2.222E+0	 4.883E-1
7.5400E-3	 2.222E+0	 0.000E+0
7.5600E-3	 2.227E+0	 4.883E-1
7.5800E-3	 2.227E+0	 4.883E-1
7.6000E-3	 2.222E+0	 4.883E-1
7.6200E-3	 2.227E+0	 4.883E-1
7.6400E-3	 2.227E+0	 0.000E+0
7.6600E-3	 2.227E+0	 4.883E-1
7.6800E-3	 2.227E+0	 4.883E-1
7.7000E-3	 2.227E+0	 4.883E-1
7.7200E-3	 2.231E+0	 4.883E-1
7.7400E-3	 2.231E+0	 0.000E+0
7.7600E-3	 2.231E+0	 4.883E-1
7.7800E-3	 2.231E+0	 9.766E-1
7.8000E-3	 2.231E+0	 4.883E-1
7.8200E-3	 2.231E+0	 0.000E+0
7.8400E-3	 2.236E+0	 4.883E-1
7.8600E-3	 2.236E+0	 4.883E-1
7.8800E-3	 2.236E+0	 4.883E-1
7.9000E-3	 2.236E+0	 4.883E-1
7.9200E-3	 2.236E+0	 0.000E+0
7.9400E-3	 2.236E+0	 4.883E-1
7.9600E-3	 2.241E+0	 4.883E-1
7.9800E-3	 2.241E+0	 4.883E-1
8.0000E-3	 2.241E+0	 0.000E+0
